"","PTY","DISTRICT_N","VOTES"
"1187","I",108916,200
"1188","R",108916,461
"1189","D",109901,103
"1190","I",109901,15
"1191","R",109901,538
"1192","D",109902,108
"1193","I",109902,14
"1194","R",109902,457
"1195","D",109903,88
"1196","I",109903,14
"1197","R",109903,419
"1198","D",109904,696
"1199","I",109904,73
"1200","R",109904,1825
"1201","D",109905,170
"1202","I",109905,14
"1203","R",109905,578
"1204","D",109907,288
"1205","I",109907,26
"1206","R",109907,940
"1207","D",109908,45
"1208","I",109908,3
"1209","R",109908,182
"1210","D",109910,68
"1211","I",109910,7
"1212","R",109910,204
"1213","D",109911,651
"1214","I",109911,79
"1215","R",109911,3194
"1216","D",109912,81
"1217","I",109912,17
"1218","R",109912,581
"1219","D",109913,125
"1220","I",109913,13
"1221","R",109913,652
"1222","D",109914,41
"1223","I",109914,6
"1224","R",109914,207
"1225","I",110901,47
"1226","R",110901,398
"1227","I",110902,313
"1228","R",110902,2838
"1229","I",110905,62
"1230","R",110905,645
"1231","I",110906,36
"1232","R",110906,400
"1233","I",110907,39
"1234","R",110907,490
"1235","I",110908,42
"1236","R",110908,351
"1237","D",111901,49
"1238","I",111901,1953
"1239","R",111901,18761
"1240","D",111902,7
"1241","I",111902,99
"1242","R",111902,1301
"1243","D",111903,0
"1244","I",111903,151
"1245","R",111903,1588
"1246","I",112901,675
"1247","R",112901,6542
"1248","I",112905,74
"1249","R",112905,859
"1250","I",112906,63
"1251","R",112906,758
"1252","I",112907,46
"1253","R",112907,649
"1254","I",112908,105
"1255","R",112908,1202
"1256","I",112909,40
"1257","R",112909,449
"1258","I",112910,44
"1259","R",112910,539
"1260","D",113901,608
"1261","I",113901,19
"1262","R",113901,1232
"1263","D",113902,242
"1264","I",113902,9
"1265","R",113902,1112
"1266","D",113903,217
"1267","I",113903,17
"1268","R",113903,1135
"1269","D",113905,313
"1270","I",113905,7
"1271","R",113905,1054
"1272","D",113906,219
"1273","I",113906,13
"1274","R",113906,954
"1275","I",114901,737
"1276","R",114901,4204
"1277","I",114902,96
"1278","R",114902,1341
"1279","I",114904,74
"1280","R",114904,945
"1281","D",115901,214
"1282","I",115901,25
"1283","R",115901,247
"1284","D",115902,62
"1285","I",115902,6
"1286","R",115902,73
"1287","D",115903,41
"1288","I",115903,2
"1289","R",115903,46
"1290","I",116901,291
"1291","R",116901,2502
"1292","I",116902,119
"1293","R",116902,969
"1294","I",116903,567
"1295","R",116903,1936
"1296","I",116905,1277
"1297","R",116905,7273
"1298","I",116906,197
"1299","R",116906,1841
"1300","I",116908,618
"1301","R",116908,4879
"1302","I",116909,101
"1303","R",116909,1042
"1304","I",116910,112
"1305","R",116910,860
"1306","I",116915,135
"1307","R",116915,1015
"1308","I",116916,28
"1309","R",116916,250
"1310","I",117901,177
