"","precinct","party","votes"
"1021","1490010","D",47
"1022","1490011","D",49
"1023","1490012","D",59
"1024","1490013","D",78
"1025","1490014","D",9
"1026","1490015","D",33
"1027","1490016","D",206
"1028","1490017","D",30
"1029","149001E","D",78
"1030","149001N","D",340
"1031","149001W","D",84
"1032","1490020","D",66
"1033","1490021","D",28
"1034","1490022","D",16
"1035","1490023","D",15
"1036","1490024","D",20
"1037","1490025","D",300
"1038","1490026","D",79
"1039","150101","D",118
"1040","150102","D",159
"1041","150103","D",106
"1042","150104","D",69
"1043","150205","D",179
"1044","150206","D",51
"1045","150207","D",10
"1046","150208","D",45
"1047","150209","D",50
"1048","150210","D",56
"1049","150211","D",19
"1050","150312","D",25
"1051","150313","D",245
"1052","150314","D",267
"1053","150415","D",183
"1054","150416","D",149
"1055","150417","D",109
"1056","150418","D",86
"1057","1571001","D",394
"1058","1571002","D",326
"1059","1571003","D",1008
"1060","1571007","D",1883
"1061","1571008","D",111
"1062","1571010","D",464
"1063","1571012","D",607
"1064","1571013","D",695
"1065","1571015","D",185
"1066","1571018","D",191
"1067","1571021","D",57
"1068","1571024","D",145
"1069","1571025","D",1275
"1070","1571037","D",645
"1071","1571040","D",782
"1072","1571048","D",598
"1073","1571054","D",106
"1074","1571058","D",242
"1075","1571067","D",1077
"1076","1571068","D",32
"1077","1571072","D",13
"1078","1571073","D",245
"1079","1571074","D",1099
"1080","1571076","D",1957
"1081","1571085","D",786
"1082","1571087","D",372
"1083","1571094","D",3
"1084","1571097","D",1289
"1085","1571103","D",869
"1086","1571109","D",256
"1087","1571114","D",3529
"1088","1571118","D",1148
"1089","1571120","D",557
"1090","1571128","D",613
"1091","1571134","D",1187
"1092","1571141","D",313
"1093","1571152","D",319
"1094","1572016","D",1132
"1095","1572017","D",1443
"1096","1572022","D",830
"1097","1572023","D",1223
"1098","1572031","D",1548
"1099","1572033","D",543
"1100","1572034","D",1902
"1101","1572036","D",633
"1102","1572043","D",330
"1103","1572050","D",1859
"1104","1572051","D",1390
"1105","1572052","D",1451
"1106","1572055","D",605
"1107","1572056","D",287
"1108","1572059","D",1369
"1109","1572060","D",1365
"1110","1572061","D",1951
"1111","1572066","D",1983
"1112","1572070","D",552
"1113","1572075","D",1110
"1114","1572077","D",1037
"1115","1572078","D",236
"1116","1572081","D",563
"1117","1572088","D",1159
"1118","1572089","D",815
"1119","1572090","D",230
"1120","1572091","D",287
"1121","1572092","D",342
"1122","1572093","D",174
"1123","1572096","D",927
"1124","1572099","D",1365
"1125","1572100","D",994
"1126","1572101","D",1422
"1127","1572106","D",1625
"1128","1572108","D",2313
"1129","1572112","D",140
"1130","1572115","D",803
"1131","1572116","D",1320
"1132","1572123","D",1060
"1133","1572136","D",151
"1134","1572137","D",190
"1135","1572138","D",152
"1136","1572139","D",31
"1137","1572151","D",882
"1138","1573004","D",1344
"1139","1573005","D",1219
"1140","1573006","D",1025
"1141","1573009","D",516
"1142","1573014","D",1044
"1143","1573019","D",162
"1144","1573032","D",1046
"1145","1573038","D",1160
"1146","1573041","D",314
"1147","1573053","D",0
"1148","1573057","D",52
"1149","1573063","D",425
"1150","1573069","D",122
"1151","1573083","D",1561
"1152","1573095","D",617
"1153","1573098","D",874
"1154","1573104","D",655
"1155","1573113","D",2300
"1156","1573122","D",612
"1157","1573130","D",1039
"1158","1573132","D",1124
"1159","1573133","D",661
