School District,Total,Anglo,Black,Hisp,B+H,Other
,3119,2516,156,423,555,48
Chireno ISD,1641,1336,160,129,286,19
,425,325,42,58,98,2
Chisum ISD,5000,4061,404,409,810,129
,1274,937,131,180,309,28
Christoval ISD,2300,1932,18,322,338,30
,510,396,8,98,104,10
Cisco ISD,5207,4408,160,563,718,81
,1167,924,27,209,233,10
City View ISD,4775,3413,470,698,1140,222
,1176,703,187,258,422,51
Clarendon ISD,3187,2694,180,264,441,52
,636,475,68,84,152,9
Clarksville ISD,6326,3659,2008,580,2568,99
,1285,505,535,233,758,22
Claude ISD,1830,1658,14,121,135,37
,414,346,9,51,60,8
Clear Creek ISD,210650,134386,16479,37896,53474,22790
,54420,30277,5259,13049,17823,6320
Cleburne ISD,37541,25961,1643,9274,10812,768
,10220,5719,601,3749,4285,216
Cleveland ISD,19829,12262,2240,5026,7198,369
,5680,2914,671,2032,2667,99
Clifton ISD,6670,5297,178,1135,1293,80
,1468,921,84,462,533,14
Clint ISD,41584,2191,540,38822,39191,202
,15353,458,234,14698,14834,61
Clyde Cons ISD,12539,8296,1845,2259,4079,164
,1951,1665,39,217,247,39
Coahoma ISD,3513,2752,31,686,715,46
,823,560,17,240,255,8
Coldspring-Oakhurst Cons ISD,13347,10536,1938,658,2564,247
,2528,1751,511,214,708,69
Coleman ISD,5932,4707,178,975,1132,93
,1351,938,65,345,395,18
College Station ISD,101199,70118,7097,14067,20824,10257
,15856,9275,2189,2886,4896,1685
Collinsville ISD,2882,2616,24,199,220,46
,734,620,15,91,103,11
Colmesneil ISD,2439,2257,82,66,147,35
,545,490,19,29,47,8
Colorado ISD,7498,3407,1042,2991,4011,80
,1361,580,93,692,770,11
Columbia-Brazoria ISD,18785,13297,2006,3220,5159,329
,4716,2863,606,1200,1758,95
Columbus ISD,10195,7080,1100,1970,3003,112
,2351,1272,340,749,1045,34
Comal ISD,98991,70958,2604,23134,25436,2597
,24628,14948,890,8276,8980,700
Comanche ISD,7344,5117,40,2107,2121,106
,1784,892,17,863,867,25
Comfort ISD,7660,5106,49,2406,2431,123
,1709,826,15,855,864,19
Commerce ISD,10937,7120,2023,1221,3190,627
,2358,1278,545,457,976,104
Community ISD,9016,7201,302,1300,1594,221
,2476,1796,107,519,621,59
Como-Pickton Cons ISD,3780,2644,152,948,1091,45
,1074,594,53,420,466,14
Comstock ISD,603,391,1,199,200,12
,117,54,1,61,62,1
Connally ISD,14898,9136,3038,2583,5498,264
