"","PCTKEY","DISTRICT_N","intesecting"
"16822","4970020","249906",0.396231756927171
"16823","4970020","249903",0.00761010766848693
"16824","4970020","249902",0.0269994108121779
"16825","4970020","184902",0.569158724593027
"16826","4970022","249906",0.32488362335613
"16827","4970022","249905",0.320410929030817
"16828","4970022","249902",0.354705447612041
"16829","4970023","249906",0.0259874298346338
"16830","4970023","249905",0
"16831","4970023","249902",0.974012570165605
"16832","4970023","61911",0
"16833","4970024","249902",0
"16834","4970024","61911",0.999999999999246
"16835","4970024","220918",0
"16836","4970025","249905",0
"16837","4970025","249902",0.527194918110364
"16838","4970025","61911",0.472805081889894
"16839","4970027","249906",0
"16840","4970027","249902",0.581754607183981
"16841","4970027","184902",0.22950759517308
"16842","4970027","61911",0.133141448576122
"16843","4970027","220918",0
"16844","4970027","220915",0.0555963490675673
"16845","49901-1","112908",0.022376741548151
"16846","49901-1","250904",0.753759195780029
"16847","49901-1","250903",0.0799957895455618
"16848","49901-1","250905",0.14386827312703
"16849","49901-1","250906",0
"16850","49901-2","112908",0.00403338929170628
"16851","49901-2","250904",0.0705327722527525
"16852","49901-2","250905",0.794902373438852
"16853","49901-2","250906",0.130531465014069
"16854","49901-2","112901",0
"16855","49901-2","190903",0
"16856","49901-3","250904",0.00344213574700178
"16857","49901-3","250906",0.9965578642411
"16858","49901-3","190903",1.17990267272582e-11
"16859","49901-4","250904",0
"16860","49901-4","250903",0.0486160519506095
"16861","49901-4","250906",0.951383948048569
"16862","49902-1","250903",0.978114224378913
"16863","49902-1","250902",0.0218857756212278
"16864","49902-1","212903",0
"16865","49902-2","250903",0.489533392520476
"16866","49902-2","234906",0
"16867","49902-2","212903",0
"16868","49902-2","250906",0.510466607477428
"16869","49902-2","234904",0
"16870","49902-3","250903",0.999999999999912
"16871","49902-3","212903",0
"16872","49903-1","250907",0.0125165541842657
"16873","49903-1","250904",0.926096358856144
"16874","49903-1","250903",0.0613870869591539
"16875","49903-2","250907",0.134319253603522
"16876","49903-2","250904",0.255524284001012
"16877","49903-2","250903",0.117114337838956
"16878","49903-2","250902",0.200107142967204
"16879","49903-2","230905",0.28762280498233
"16880","49903-2","230901",0.00531217660809002
"16881","49903-3","212910",0
"16882","49903-3","250904",0.00570004397816427
"16883","49903-3","250903",0.0137197618191735
"16884","49903-3","250902",0.871265315550909
"16885","49903-3","212903",0
"16886","49903-3","230905",0.00154153452276775
"16887","49903-3","230901",0.107773344128509
"16888","49904-1","250907",0.177932200762406
"16889","49904-1","250904",0.822067799237509
"16890","49904-2","250907",0.708048556783771
"16891","49904-2","250904",0.00819442990560944
"16892","49904-2","230904",0.0623100754591248
"16893","49904-2","230905",0.199330263405942
"16894","49904-2","32902",0.0221166744455512
"16895","49904-2","80901",0
"16896","49904-3","112908",0
"16897","49904-3","250907",0.729025319814437
"16898","49904-3","250904",0.270974680184151
"16899","49904-4","250904",1.00000000000187
"16900","50001","3903",1.00000000000008
"16901","50002","3903",0.999092325065777
"16902","50002","3907",0.000907674937170848
"16903","50003","174906",0
"16904","50003","174904",0
"16905","50003","3903",0.99967388743061
"16906","50003","3904",0.00032611257236231
"16907","50004","3903",0.998560183111961
"16908","50004","3907",0.00143981688615283
"16909","50005","3903",0.818419951290402
"16910","50005","3902",0.18158004871008
"16911","50006","174904",0
"16912","50006","3903",0.584027943286036
"16913","50006","3907",0.415972056713051
"16914","50007","228905",0
"16915","50007","113906",3.33517583023975e-11
"16916","50007","3902",0.98423536662549
"16917","50007","3907",0.0154764960917119
"16918","50007","3905",0.000288137248378057
"16919","50008","3903",0.0706817971976783
"16920","50008","3902",0.913187761810496
"16921","50008","3905",0.0161304409917444
"16922","50009","3903",1.00000000000004
"16923","50010","3903",1.00000000000002
"16924","50011","174906",0
"16925","50011","3903",0.0227583014372366
"16926","50011","3904",0.977241698560378
"16927","50011","174910",0
"16928","50012","3903",0.99999999999772
"16929","50013","3903",1.0000000000025
"16930","50014","3903",1.00000000000119
"16931","50015","228905",1.49649466116638e-13
"16932","50015","3903",0.0570692903593749
"16933","50015","3902",0.000119623251735721
"16934","50015","228904",0
"16935","50015","3905",0.942811086388893
"16936","50015","187904",0
"16937","50016","3905",0.999999999997827
"16938","50017","3904",0.0827897731836941
"16939","50017","203902",0
"16940","50017","174910",0
"16941","50017","121904",0
"16942","50017","229906",0
"16943","50017","229901",0.0389013175013999
"16944","50017","3906",0.878308909315628
"16945","50018","3903",1.00000000000066
